team_id,team_display_name,team_short_display_name,team_abbreviation,team_logo,games_played,total_pts,total_pts_allowed,total_fga,total_fgm,total_fta,total_tov,total_oreb,total_dreb,total_fga_opp,total_fgm_opp,total_fta_opp,total_tov_opp,total_oreb_opp,total_dreb_opp,possessions,ortg,drtg,net_rtg
2567,SMU Mustangs,SMU,SMU,https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,33,2779,2561,2071,1015,634,373,405,839,2036,884,652,403,387,739,2329.8643142175933,119.27733229105377,109.92056423079839,9.356768060255376
2305,Kansas Jayhawks,Kansas,KU,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,33,2496,2290,1948,883,635,352,334,948,2088,810,578,317,409,799,2245.318231509853,111.16464316604142,101.98999713551076,9.174646030530653
2628,TCU Horned Frogs,TCU,TCU,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,33,2584,2378,2000,896,774,361,410,784,1920,856,583,457,323,782,2298.2910135016336,112.4313668208216,103.46818510058581,8.96318172023578
231,Furman Paladins,Furman,FUR,https://a.espncdn.com/i/teamlogos/ncaa/500/231.png,34,2600,2397,1963,934,623,406,370,921,2021,859,573,328,331,762,2277.826103986272,114.14391974215737,105.23191370075047,8.912006041406897
70,Idaho Vandals,Idaho,IDHO,https://a.espncdn.com/i/teamlogos/ncaa/500/70.png,35,2753,2540,2097,940,713,370,373,936,2003,863,759,379,288,870,2419.085819175619,113.80332099744082,104.99834193007615,8.80497906736467
2856,California Baptist Lancers,CA Baptist,CBU,https://a.espncdn.com/i/teamlogos/ncaa/500/2856.png,33,2410,2230,1957,845,707,408,458,860,1866,778,693,386,322,753,2232.93133733221,107.92987494543125,99.86872245988036,8.061152485550892
2561,Siena Saints,Siena,SIE,https://a.espncdn.com/i/teamlogos/ncaa/500/2561.png,34,2398,2233,1882,860,644,351,346,824,1909,805,520,375,337,738,2168.614164831183,110.57753098217329,102.96898527239071,7.608545709782575
142,Missouri Tigers,Missouri,MIZ,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png,32,2549,2411,1823,894,774,396,371,768,1868,814,655,365,351,674,2187.050760560309,116.5496496911193,110.23978242655497,6.309867264564332
112358,Long Island University Sharks,Long Island,LIU,https://a.espncdn.com/i/teamlogos/ncaa/500/112358.png,34,2519,2418,1941,933,674,442,386,804,1964,874,670,440,389,740,2314.1643852758616,108.85138566764871,104.48695932686564,4.364426340783069
219,Pennsylvania Quakers,Penn,PENN,https://a.espncdn.com/i/teamlogos/ncaa/500/219.png,29,2207,2126,1740,766,636,314,334,722,1754,791,484,363,311,736,2014.1318789932238,109.57574441963465,105.5541606869702,4.021583732664439
2504,Prairie View A&M Panthers,Prairie View,PV,https://a.espncdn.com/i/teamlogos/ncaa/500/2504.png,35,2761,2662,2102,932,904,417,352,837,2067,904,859,536,417,904,2566.529031862372,107.57719728564739,103.71984758217796,3.857349703469424
2116,UCF Knights,UCF,UCF,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,32,2591,2511,2017,940,622,358,396,794,1918,875,676,360,317,755,2254.6061382111275,114.92029388582156,111.37200229536779,3.548291590453772
2511,Queens University Royals,Queens,QUC,https://a.espncdn.com/i/teamlogos/ncaa/500/2511.png,34,2886,2820,2046,987,766,363,348,801,2082,970,806,370,398,804,2407.7104565002082,119.86491117353964,117.12371777871854,2.741193394821096
2329,Lehigh Mountain Hawks,Lehigh,LEH,https://a.espncdn.com/i/teamlogos/ncaa/500/2329.png,34,2490,2515,1909,886,617,412,261,822,2038,908,644,385,371,847,2332.4936764966214,106.75270098652321,107.82451525345616,-1.0718142669329467
