season,athlete_id,player,team,position,games_played,games_started,minutes_total,mpg,pts_total,ppg,pts_per_40,fgm_total,fga_total,fg_pct,fg3m_total,fg3a_total,fg3_pct,threepar,ftm_total,fta_total,ft_pct,fta_rate,reb_total,rpg,reb_per_40,oreb_total,oreb_pg,oreb_per_40,dreb_total,dreb_pg,dreb_per_40,ast_total,apg,ast_per_40,stl_total,spg,stl_per_40,blk_total,bpg,blk_per_40,tov_total,tovpg,tov_per_40,efg_pct,ts_pct,usage,ast_pct,tov_pct,oreb_pct,dreb_pct,usage_pctile_pos,ts_pctile_pos,efg_pctile_pos,ast_pctile_pos,tov_pctile_pos,oreb_pctile_pos,dreb_pctile_pos,fg3_pctile_pos,ft_pctile_pos,threepar_pctile_pos,fta_rate_pctile_pos
2026,9349421,Hailey Johnson,Beloit,F,25,24,786.083,31.443,338,13.52,17.199,113,281,0.402,17,65,0.262,0.231,95,121,0.785,0.431,179,7.16,9.108,51,2.04,2.595,128,5.12,6.513,34,1.36,1.73,31,1.24,1.577,39,1.56,1.985,78,3.12,3.969,0.432,0.506,0.252,0.146,0.189,0.076,0.179,0.672,0.596,0.449,0.84,0.605,0.431,0.478,0.588,0.936,0.792,0.77
2026,9349422,Kyana Aguilera,Beloit,G,11,0,61.683,5.608,20,1.818,12.969,6,11,0.545,3,5,0.6,0.455,5,11,0.455,1,7,0.636,4.539,2,0.182,1.297,5,0.455,3.242,3,0.273,1.945,3,0.273,1.945,0,0,0,6,0.545,3.891,0.682,0.631,0.17,0.142,0.275,0.038,0.089,0.165,0.993,0.999,0.487,0.798,0.497,0.197,0.998,0.063,0.625,0.999
2026,9349423,Aina Mallorqui,Beloit,G,25,12,598.75,23.95,139,5.56,9.286,44,127,0.346,11,46,0.239,0.362,40,59,0.678,0.465,76,3.04,5.077,13,0.52,0.868,63,2.52,4.209,39,1.56,2.605,17,0.68,1.136,1,0.04,0.067,84,3.36,5.612,0.39,0.454,0.19,0.177,0.354,0.026,0.116,0.434,0.414,0.326,0.694,0.946,0.309,0.555,0.253,0.363,0.474,0.862
2026,9349424,Kaelie Moreno,Beloit,G,7,4,163.083,23.298,43,6.143,10.547,12,40,0.3,7,22,0.318,0.55,12,22,0.545,0.55,24,3.429,5.887,4,0.571,0.981,20,2.857,4.905,3,0.429,0.736,5,0.714,1.226,1,0.143,0.245,25,3.571,6.132,0.388,0.433,0.22,0.05,0.335,0.029,0.135,0.633,0.358,0.312,0.041,0.921,0.373,0.719,0.667,0.098,0.746,0.984
2026,9349425,Kaitlin Davis,Beloit,G,25,20,682.783,27.311,155,6.2,9.08,45,176,0.256,12,72,0.167,0.409,53,73,0.726,0.415,165,6.6,9.666,27,1.08,1.582,138,5.52,8.085,46,1.84,2.695,47,1.88,2.753,15,0.6,0.879,86,3.44,5.038,0.29,0.372,0.207,0.18,0.292,0.046,0.222,0.573,0.099,0.055,0.739,0.853,0.644,0.991,0.06,0.646,0.548,0.8
2026,9349426,Madalyn Kavalary,Beloit,F,18,0,81.683,4.538,2,0.111,0.979,0,5,0,0,2,0,0.4,2,4,0.5,0.8,5,0.278,2.448,2,0.111,0.979,3,0.167,1.469,3,0.167,1.469,0,0,0,2,0.111,0.979,10,0.556,4.897,0,0.148,0.098,0.083,0.597,0.029,0.04,0.009,0.002,0.001,0.265,1,0.121,0.005,0.006,0.113,0.939,1
2026,9349427,Bailey Darneal,Beloit,G,25,25,657.5,26.3,170,6.8,10.342,59,209,0.282,21,86,0.244,0.411,31,44,0.705,0.211,93,3.72,5.658,15,0.6,0.913,78,3.12,4.745,21,0.84,1.278,25,1,1.521,0,0,0,74,2.96,4.502,0.333,0.372,0.221,0.091,0.245,0.027,0.13,0.656,0.079,0.108,0.165,0.709,0.345,0.673,0.309,0.527,0.573,0.307
2026,9349428,Kylie Wolff,Beloit,G,16,0,75.033,4.69,9,0.562,4.798,3,16,0.188,0,2,0,0.125,3,3,1,0.188,10,0.625,5.331,5,0.312,2.665,5,0.312,2.665,3,0.188,1.599,4,0.25,2.132,0,0,0,7,0.438,3.732,0.188,0.26,0.156,0.1,0.288,0.078,0.073,0.12,0.009,0.007,0.242,0.805,0.885,0.105,0.001,0.997,0.075,0.214
2026,9349429,Julia Kennedy,Beloit,G,25,24,753.883,30.155,203,8.12,10.771,64,200,0.32,40,130,0.308,0.65,35,46,0.761,0.23,49,1.96,2.6,6,0.24,0.318,43,1.72,2.282,27,1.08,1.433,40,1.6,2.122,2,0.08,0.106,91,3.64,4.828,0.42,0.461,0.198,0.101,0.292,0.009,0.063,0.475,0.465,0.466,0.261,0.83,0.085,0.059,0.599,0.72,0.887,0.39
2026,9349987,Kiersten Cox,Monmouth (IL),F,18,1,321.167,17.843,118,6.556,14.696,53,126,0.421,2,6,0.333,0.048,10,15,0.667,0.119,85,4.722,10.586,38,2.111,4.733,47,2.611,5.854,5,0.278,0.623,14,0.778,1.744,3,0.167,0.374,14,0.778,1.744,0.429,0.445,0.21,0.044,0.095,0.121,0.169,0.476,0.306,0.394,0.054,0.02,0.752,0.284,0.809,0.355,0.385,0.045
