season,athlete_id,player,team,position,headshot_url,games_played,games_started,minutes_total,mpg,pts_total,ppg,pts_per_36,reb_total,rpg,reb_per_36,oreb_total,oreb_pg,oreb_per_36,dreb_total,dreb_pg,dreb_per_36,ast_total,apg,ast_per_36,stl_total,spg,stl_per_36,blk_total,bpg,blk_per_36,tov_total,tovpg,tov_per_36,fg_pct,fg3_pct,threepar,ft_pct,fta_rate,efg_pct,ts_pct,usage,ast_pct,tov_pct,oreb_pct,dreb_pct,usage_pctile_pos,ts_pctile_pos,efg_pctile_pos,ast_pctile_pos,stl_pctile_pos,tov_pctile_pos,oreb_pctile_pos,dreb_pctile_pos,fg3_pctile_pos,ft_pctile_pos,threepar_pctile_pos,fta_rate_pctile_pos,usage_pos_avg,ts_pos_avg,efg_pos_avg,ast_pos_avg,stl_pos_avg,tov_pos_avg,oreb_pos_avg,dreb_pos_avg,fg3_pos_avg,ft_pos_avg,threepar_pos_avg,fta_rate_pos_avg,usage_pos_avg_pctile,ts_pos_avg_pctile,efg_pos_avg_pctile,ast_pos_avg_pctile,stl_pos_avg_pctile,tov_pos_avg_pctile,oreb_pos_avg_pctile,dreb_pos_avg_pctile,fg3_pos_avg_pctile,ft_pos_avg_pctile,threepar_pos_avg_pctile,fta_rate_pos_avg_pctile
2026,4433405,Kamilla Cardoso,Sky,C,https://a.espncdn.com/i/headshots/wnba/players/full/4433405.png,9,9,240,26.67,115,12.78,17.25,90,10,13.5,29,3.22,4.35,61,6.78,9.15,21,2.33,3.15,3,0.33,0.45,16,1.78,2.4,12,1.33,1.8,0.5,NA,0,0.74,0.45,0.5,0.56,0.21,0.16,0.1,0.13,0.28,0.46,0.4,0.41,0.85,0.22,0.25,0.98,0.85,NA,0.42,0.15,0.8,0.22,0.57,0.52,0.12,0.67,0.14,0.08,0.22,0.35,0.73,0.22,0.38,0.61,0.44,0.53,0.55,0.5,0.5,0.53,0.49,0.3,0.35,0.58,0.62
2026,4433408,Aaliyah Edwards,Sun,F,https://a.espncdn.com/i/headshots/wnba/players/full/4433408.png,6,6,111,18.5,48,8,15.57,23,3.83,7.46,9,1.5,2.92,14,2.33,4.54,5,0.83,1.62,7,1.17,2.27,3,0.5,0.97,12,2,3.89,0.5,0,0.07,0.67,0.21,0.5,0.52,0.23,0.09,0.21,0.09,0.16,0.64,0.38,0.5,0.33,0.81,0.82,0.65,0.41,0.01,0.26,0.19,0.27,0.2,0.55,0.51,0.12,0.87,0.15,0.08,0.18,0.33,0.74,0.33,0.33,0.52,0.5,0.52,0.65,0.5,0.59,0.6,0.53,0.43,0.47,0.45,0.52
2026,4433411,Angela Dugalic,Mystics,F,https://a.espncdn.com/i/headshots/wnba/players/full/4433411.png,8,0,99,12.38,38,4.75,13.82,28,3.5,10.18,7,0.88,2.55,21,2.62,7.64,6,0.75,2.18,6,0.75,2.18,3,0.38,1.09,4,0.5,1.45,0.48,0.18,0.33,0.57,0.21,0.52,0.53,0.18,0.11,0.1,0.09,0.25,0.4,0.41,0.52,0.6,0.39,0.15,0.64,0.84,0.13,0.14,0.49,0.22,0.2,0.55,0.51,0.12,0.87,0.15,0.08,0.18,0.33,0.74,0.33,0.33,0.52,0.5,0.52,0.65,0.5,0.59,0.6,0.53,0.43,0.47,0.45,0.52
2026,4433412,Hailey Van Lith,Sun,G,https://a.espncdn.com/i/headshots/wnba/players/full/4433412.png,9,3,158,17.56,73,8.11,16.63,10,1.11,2.28,1,0.11,0.23,9,1,2.05,20,2.22,4.56,5,0.56,1.14,3,0.33,0.68,11,1.22,2.51,0.49,0.47,0.28,0.83,0.1,0.56,0.57,0.21,0.25,0.15,0.01,0.07,0.46,0.62,0.79,0.7,0.29,0.53,0.16,0.2,0.91,0.48,0.18,0.12,0.22,0.55,0.49,0.2,0.92,0.15,0.03,0.11,0.33,0.83,0.42,0.31,0.54,0.48,0.5,0.54,0.55,0.55,0.54,0.51,0.57,0.42,0.57,0.52
2026,4433431,Te-Hina Paopao,Dream,G,https://a.espncdn.com/i/headshots/wnba/players/full/4433431.png,9,1,146,16.22,47,5.22,11.59,16,1.78,3.95,2,0.22,0.49,14,1.56,3.45,14,1.56,3.45,2,0.22,0.49,2,0.22,0.49,10,1.11,2.47,0.37,0.38,0.6,0.83,0.14,0.49,0.51,0.17,0.16,0.18,0.02,0.12,0.11,0.32,0.48,0.41,0.06,0.71,0.3,0.59,0.73,0.48,0.86,0.16,0.22,0.55,0.49,0.2,0.92,0.15,0.03,0.11,0.33,0.83,0.42,0.31,0.54,0.48,0.5,0.54,0.55,0.55,0.54,0.51,0.57,0.42,0.57,0.52
2026,4433433,Aicha Coulibaly,Sky,G,https://a.espncdn.com/i/headshots/wnba/players/full/4433433.png,6,0,88,14.67,29,4.83,11.86,12,2,4.91,3,0.5,1.23,9,1.5,3.68,4,0.67,1.64,7,1.17,2.86,0,0,0,4,0.67,1.64,0.32,0,0.21,1,0.39,0.32,0.44,0.18,0.07,0.11,0.04,0.11,0.32,0.1,0.02,0.1,0.74,0.25,0.73,0.55,0.01,0.99,0.04,0.73,0.22,0.55,0.49,0.2,0.92,0.15,0.03,0.11,0.33,0.83,0.42,0.31,0.54,0.48,0.5,0.54,0.55,0.55,0.54,0.51,0.57,0.42,0.57,0.52
2026,4433514,Saniya Rivers,Sun,G,https://a.espncdn.com/i/headshots/wnba/players/full/4433514.png,11,6,269,24.45,71,6.45,9.5,21,1.91,2.81,4,0.36,0.54,17,1.55,2.28,39,3.55,5.22,11,1,1.47,6,0.55,0.8,21,1.91,2.81,0.31,0.14,0.25,0.7,0.23,0.33,0.37,0.19,0.24,0.18,0.02,0.08,0.35,0.03,0.03,0.64,0.6,0.73,0.36,0.24,0.03,0.08,0.13,0.3,0.22,0.55,0.49,0.2,0.92,0.15,0.03,0.11,0.33,0.83,0.42,0.31,0.54,0.48,0.5,0.54,0.55,0.55,0.54,0.51,0.57,0.42,0.57,0.52
2026,4433523,Rori Harmon,Mystics,G,https://a.espncdn.com/i/headshots/wnba/players/full/4433523.png,6,0,60,10,8,1.33,4.8,8,1.33,4.8,0,0,0,8,1.33,4.8,10,1.67,6,5,0.83,3,0,0,0,12,2,7.2,0.22,0.2,0.56,0.75,0.44,0.28,0.37,0.17,0.25,0.53,0,0.15,0.12,0.03,0.01,0.64,0.5,1,0.05,0.85,0.05,0.16,0.8,0.88,0.22,0.55,0.49,0.2,0.92,0.15,0.03,0.11,0.33,0.83,0.42,0.31,0.54,0.48,0.5,0.54,0.55,0.55,0.54,0.51,0.57,0.42,0.57,0.52
2026,4433524,Sonia Citron,Mystics,G,https://a.espncdn.com/i/headshots/wnba/players/full/4433524.png,7,7,233,33.29,124,17.71,19.16,24,3.43,3.71,7,1,1.08,17,2.43,2.63,20,2.86,3.09,10,1.43,1.55,4,0.57,0.62,18,2.57,2.78,0.54,0.31,0.36,0.84,0.62,0.6,0.68,0.21,0.16,0.16,0.04,0.08,0.52,0.94,0.89,0.44,0.87,0.64,0.81,0.31,0.4,0.61,0.37,0.96,0.22,0.55,0.49,0.2,0.92,0.15,0.03,0.11,0.33,0.83,0.42,0.31,0.54,0.48,0.5,0.54,0.55,0.55,0.54,0.51,0.57,0.42,0.57,0.52
2026,4433542,Saylor Poffenbarger,Sky,G,https://a.espncdn.com/i/headshots/wnba/players/full/4433542.png,2,0,7,3.5,0,0,0,3,1.5,15.43,1,0.5,5.14,2,1,10.29,0,0,0,1,0.5,5.14,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0.15,0.32,0,NA,NA,0,0.24,NA,1,1,NA,NA,NA,NA,0.22,0.55,0.49,0.2,0.92,0.15,0.03,0.11,0.33,0.83,0.42,0.31,0.54,0.48,0.5,0.54,0.55,0.55,0.54,0.51,0.57,0.42,0.57,0.52
