season,athlete_id,player,team,position,pos_group,headshot_url,games_played,games_started,minutes_total,mpg,pts_total,ppg,pts_per_40,reb_total,rpg,reb_per_40,oreb_total,oreb_pg,oreb_per_40,dreb_total,dreb_pg,dreb_per_40,ast_total,apg,ast_per_40,stl_total,spg,stl_per_40,blk_total,bpg,blk_per_40,tov_total,tovpg,tov_per_40,fg_pct,fg3_pct,threepar,ft_pct,fta_rate,efg_pct,ts_pct,usage,ast_pct,tov_pct,oreb_pct,dreb_pct,usage_pctile_pos,ts_pctile_pos,efg_pctile_pos,ast_pctile_pos,stl_pctile_pos,tov_pctile_pos,oreb_pctile_pos,dreb_pctile_pos,fg3_pctile_pos,ft_pctile_pos,threepar_pctile_pos,fta_rate_pctile_pos,usage_pos_avg,ts_pos_avg,efg_pos_avg,ast_pos_avg,stl_pos_avg,tov_pos_avg,oreb_pos_avg,dreb_pos_avg,fg3_pos_avg,ft_pos_avg,threepar_pos_avg,fta_rate_pos_avg,usage_pos_avg_pctile,ts_pos_avg_pctile,efg_pos_avg_pctile,ast_pos_avg_pctile,stl_pos_avg_pctile,tov_pos_avg_pctile,oreb_pos_avg_pctile,dreb_pos_avg_pctile,fg3_pos_avg_pctile,ft_pos_avg_pctile,threepar_pos_avg_pctile,fta_rate_pos_avg_pctile
2026,5175913,Kennedie Shuler,Oregon St,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5175913.png,35,35,1117,31.91,437,12.49,15.65,163,4.66,5.84,44,1.26,1.58,119,3.4,4.26,184,5.26,6.59,70,2,2.51,29,0.83,1.04,114,3.26,4.08,0.47,0.13,0.1,0.57,0.38,0.48,0.5,0.25,0.36,0.21,0.05,0.12,0.8,0.46,0.54,1,0.97,0.77,0.81,0.5,0.03,0.07,0.06,0.85,0.21,0.51,0.47,0.16,0.96,0.18,0.04,0.12,0.34,0.77,0.41,0.26,0.48,0.47,0.46,0.56,0.61,0.55,0.57,0.52,0.5,0.39,0.55,0.59
2026,5175916,Susana Yepes,Oregon St,F,Forward,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5175916.png,21,0,134,6.38,16,0.76,4.78,13,0.62,3.88,3,0.14,0.9,10,0.48,2.99,11,0.52,3.28,0,0,0,0,0,0,7,0.33,2.09,0.2,0.26,0.76,0.5,0.08,0.3,0.31,0.13,0.14,0.21,0.03,0.08,0.02,0,0,0.85,0.01,0.68,0.02,0.01,0.35,0.02,1,0.01,0.21,0.52,0.48,0.1,0.73,0.18,0.1,0.19,0.29,0.68,0.16,0.29,0.6,0.4,0.34,0.56,0.6,0.62,0.66,0.54,0.44,0.48,0.58,0.49
2026,5175978,Eleonora Villa,Washington St,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5175978.png,34,34,1186,34.88,560,16.47,18.89,78,2.29,2.63,12,0.35,0.4,66,1.94,2.23,121,3.56,4.08,32,0.94,1.08,8,0.24,0.27,100,2.94,3.37,0.46,0.32,0.29,0.7,0.23,0.51,0.54,0.27,0.24,0.16,0.01,0.07,0.9,0.68,0.76,0.84,0.6,0.41,0.21,0.08,0.43,0.25,0.3,0.52,0.21,0.51,0.47,0.16,0.96,0.18,0.04,0.12,0.34,0.77,0.41,0.26,0.48,0.47,0.46,0.56,0.61,0.55,0.57,0.52,0.5,0.39,0.55,0.59
2026,5175979,Alex Covill,Washington St,C,Center,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5175979.png,20,20,479,23.95,216,10.8,18.04,89,4.45,7.43,24,1.2,2,65,3.25,5.43,7,0.35,0.58,8,0.4,0.67,37,1.85,3.09,59,2.95,4.93,0.52,NA,0,0.83,0.37,0.52,0.58,0.26,0.03,0.24,0.06,0.17,0.83,0.97,0.76,0.66,0.95,0.77,0.51,0.47,NA,0.99,0.78,0.79,0.23,0.54,0.51,0.04,0.24,0.22,0.09,0.23,0.28,0.66,0.07,0.35,0.36,0.44,0.45,0.71,0.66,0.31,0.7,0.59,1,0.42,0.84,0.48
2026,5175980,Jenna Villa,Oregon St,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5175980.png,35,35,1157,33.06,523,14.94,18.08,179,5.11,6.19,39,1.11,1.35,140,4,4.84,63,1.8,2.18,24,0.69,0.83,9,0.26,0.31,70,2,2.42,0.41,0.38,0.48,0.88,0.42,0.5,0.58,0.23,0.11,0.13,0.05,0.14,0.67,0.89,0.68,0.37,0.37,0.31,0.69,0.7,0.71,0.92,0.72,0.95,0.21,0.51,0.47,0.16,0.96,0.18,0.04,0.12,0.34,0.77,0.41,0.26,0.48,0.47,0.46,0.56,0.61,0.55,0.57,0.52,0.5,0.39,0.55,0.59
2026,5176502,Taylor Smith,Gonzaga,F,Forward,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5176502.png,34,34,784,23.06,190,5.59,9.69,127,3.74,6.48,49,1.44,2.5,78,2.29,3.98,93,2.74,4.74,37,1.09,1.89,20,0.59,1.02,68,2,3.47,0.48,0.06,0.1,0.78,0.16,0.49,0.51,0.16,0.21,0.27,0.09,0.12,0.16,0.36,0.41,1,0.79,0.95,0.51,0.15,0.04,0.77,0.53,0.08,0.21,0.52,0.48,0.1,0.73,0.18,0.1,0.19,0.29,0.68,0.16,0.29,0.6,0.4,0.34,0.56,0.6,0.62,0.66,0.54,0.44,0.48,0.58,0.49
2026,5177242,Maria Konstantinidou,San Diego St,F,Forward,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5177242.png,33,0,439,13.3,90,2.73,8.2,103,3.12,9.38,39,1.18,3.55,64,1.94,5.83,15,0.45,1.37,5,0.15,0.46,19,0.58,1.73,32,0.97,2.92,0.43,0,0.15,0.56,0.19,0.43,0.44,0.16,0.06,0.24,0.12,0.18,0.2,0.22,0.23,0.3,0.05,0.83,0.71,0.46,0.02,0.19,0.55,0.22,0.21,0.52,0.48,0.1,0.73,0.18,0.1,0.19,0.29,0.68,0.16,0.29,0.6,0.4,0.34,0.56,0.6,0.62,0.66,0.54,0.44,0.48,0.58,0.49
2026,5177271,Alyssa Jackson,San Diego St,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5177271.png,32,0,534,16.69,121,3.78,9.06,127,3.97,9.51,17,0.53,1.27,110,3.44,8.24,24,0.75,1.8,20,0.62,1.5,2,0.06,0.15,39,1.22,2.92,0.43,0.33,0.2,0.56,0.13,0.46,0.47,0.17,0.08,0.23,0.04,0.25,0.2,0.27,0.45,0.14,0.26,0.87,0.64,1,0.47,0.03,0.1,0.13,0.21,0.51,0.47,0.16,0.96,0.18,0.04,0.12,0.34,0.77,0.41,0.26,0.48,0.47,0.46,0.56,0.61,0.55,0.57,0.52,0.5,0.39,0.55,0.59
2026,5177821,Diarrah Sissoko,Fresno St,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5177821.png,5,0,41,8.2,12,2.4,11.71,4,0.8,3.9,0,0,0,4,0.8,3.9,3,0.6,2.93,0,0,0,0,0,0,4,0.8,3.9,0.31,0.14,0.54,0.6,0.38,0.35,0.39,0.23,0.15,0.21,0,0.13,0.59,0.08,0.05,0.53,0,0.77,0,0.65,0.03,0.09,0.77,0.85,0.21,0.51,0.47,0.16,0.96,0.18,0.04,0.12,0.34,0.77,0.41,0.26,0.48,0.47,0.46,0.56,0.61,0.55,0.57,0.52,0.5,0.39,0.55,0.59
2026,5177896,Mackenzie Chatfield,Washington St,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5177896.png,34,31,852,25.06,155,4.56,7.28,120,3.53,5.63,33,0.97,1.55,87,2.56,4.08,112,3.29,5.26,34,1,1.6,1,0.03,0.05,65,1.91,3.05,0.39,0,0.01,0.88,0.28,0.39,0.46,0.14,0.25,0.28,0.05,0.13,0.07,0.21,0.13,0.87,0.64,0.95,0.76,0.65,0,0.96,0.02,0.64,0.21,0.51,0.47,0.16,0.96,0.18,0.04,0.12,0.34,0.77,0.41,0.26,0.48,0.47,0.46,0.56,0.61,0.55,0.57,0.52,0.5,0.39,0.55,0.59
2026,5178521,Taleiyah Gibbs,Texas St,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5178521.png,30,8,413,13.77,101,3.37,9.78,54,1.8,5.23,20,0.67,1.94,34,1.13,3.29,18,0.6,1.74,15,0.5,1.45,4,0.13,0.39,31,1.03,3,0.49,0.35,0.24,0.74,0.23,0.53,0.56,0.14,0.09,0.26,0.06,0.1,0.08,0.82,0.89,0.17,0.14,0.88,0.85,0.32,0.52,0.31,0.16,0.44,0.21,0.51,0.47,0.16,0.96,0.18,0.04,0.12,0.34,0.77,0.41,0.26,0.48,0.47,0.46,0.56,0.61,0.55,0.57,0.52,0.5,0.39,0.55,0.59
2026,5181804,Madelyn Bragg,Colorado St,F,Forward,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5181804.png,35,30,897,25.63,286,8.17,12.75,151,4.31,6.73,54,1.54,2.41,97,2.77,4.33,17,0.49,0.76,17,0.49,0.76,30,0.86,1.34,49,1.4,2.19,0.53,0,0,0.82,0.3,0.53,0.57,0.18,0.04,0.16,0.08,0.13,0.32,0.85,0.79,0.11,0.34,0.58,0.37,0.24,0.02,0.94,0.19,0.52,0.21,0.52,0.48,0.1,0.73,0.18,0.1,0.19,0.29,0.68,0.16,0.29,0.6,0.4,0.34,0.56,0.6,0.62,0.66,0.54,0.44,0.48,0.58,0.49
2026,5183079,Ellie Chen,San Diego St,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5183079.png,10,0,22,2.2,4,0.4,7.27,1,0.1,1.82,0,0,0,1,0.1,1.82,1,0.1,1.82,1,0.1,1.82,0,0,0,3,0.3,5.45,0.67,NA,0,NA,0,0.67,0.67,0.14,0.08,0.5,0,0.06,0.1,1,1,0.13,0,1,0,0.02,NA,NA,0,0,0.21,0.51,0.47,0.16,0.96,0.18,0.04,0.12,0.34,0.77,0.41,0.26,0.48,0.47,0.46,0.56,0.61,0.55,0.57,0.52,0.5,0.39,0.55,0.59
2026,5188234,Madeline Cooke,Boise St,C,Center,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5188234.png,5,0,67,13.4,18,3.6,10.75,18,3.6,10.75,8,1.6,4.78,10,2,5.97,3,0.6,1.79,2,0.4,1.19,4,0.8,2.39,1,0.2,0.6,0.62,NA,0,1,0.15,0.62,0.65,0.11,0.09,0.07,0.15,0.18,0.03,1,1,1,1,0.03,1,0.52,NA,1,0.81,0.03,0.23,0.54,0.51,0.04,0.24,0.22,0.09,0.23,0.28,0.66,0.07,0.35,0.36,0.44,0.45,0.71,0.66,0.31,0.7,0.59,1,0.42,0.84,0.48
