league,season,population,team,dimension,category,unit,source,off_n,off_freq,off_ppp,off_ppp_pctl,def_n,def_ppp,def_ppp_pctl
wnba,2026,national,GS,shot_zone,mid_range,attempt,espn_derived,430,0.16449885233358838,0.627906976744186,50,405,0.5975308641975309,0
wnba,2026,national,GS,shot_zone,paint,attempt,espn_derived,554,0.21193573068094873,0.9602888086642599,57,601,0.9517470881863561,50
wnba,2026,national,IND,ball_security,dead_ball_to,possession,espn_derived,275,0.08160237388724036,0,7,242,0.008264462809917356,46
wnba,2026,national,IND,ball_security,live_ball_to,possession,espn_derived,306,0.09080118694362017,0,71,288,0,79
wnba,2026,national,IND,ball_security,no_turnover,possession,espn_derived,2789,0.8275964391691395,1.3836500537827179,50,2842,1.2670654468684026,93
wnba,2026,national,IND,context,halfcourt,possession,espn_derived,2517,0.7468842729970326,1.1060786650774732,100,2527,1.0300751879699248,64
wnba,2026,national,IND,context,second_chance,possession,espn_derived,484,0.14362017804154303,1.0640495867768596,64,479,0.9979123173277662,14
wnba,2026,national,IND,context,transition,possession,espn_derived,369,0.10949554896142433,1.5176151761517616,86,366,1.4262295081967213,50
wnba,2026,national,IND,creation,assisted,made_fg,espn_derived,831,0.6087912087912087,2.371841155234657,57,828,2.3285024154589373,0
wnba,2026,national,IND,creation,unassisted,made_fg,espn_derived,534,0.3912087912087912,2.202247191011236,100,479,2.079331941544885,0
wnba,2026,national,IND,shot_zone,above_break_3,attempt,espn_derived,811,0.3054613935969868,1.2725030826140566,100,680,1.05,21
wnba,2026,national,IND,shot_zone,at_rim,attempt,espn_derived,742,0.27947269303201505,1.4528301886792452,79,820,1.3804878048780487,7
wnba,2026,national,IND,shot_zone,corner_3,attempt,espn_derived,178,0.06704331450094161,1.2303370786516854,93,193,1.1191709844559585,43
wnba,2026,national,IND,shot_zone,mid_range,attempt,espn_derived,425,0.160075329566855,0.6776470588235294,79,458,0.6724890829694323,64
wnba,2026,national,IND,shot_zone,paint,attempt,espn_derived,499,0.18794726930320152,1.062124248496994,93,564,0.9822695035460993,64
wnba,2026,national,LA,ball_security,dead_ball_to,possession,espn_derived,223,0.06692677070828332,0.004484304932735426,86,245,0,29
wnba,2026,national,LA,ball_security,live_ball_to,possession,espn_derived,389,0.1167466986794718,0,0,325,0.006153846153846154,36
wnba,2026,national,LA,ball_security,no_turnover,possession,espn_derived,2720,0.8163265306122449,1.2761029411764706,14,2754,1.3231663035584604,71
wnba,2026,national,LA,context,halfcourt,possession,espn_derived,2542,0.762905162064826,0.9893784421715185,29,2433,1.0337032470201397,86
wnba,2026,national,LA,context,second_chance,possession,espn_derived,432,0.12965186074429771,1.0208333333333333,43,492,1.0914634146341464,79
wnba,2026,national,LA,context,transition,possession,espn_derived,358,0.10744297719087635,1.441340782122905,43,399,1.4887218045112782,71
wnba,2026,national,LA,creation,assisted,made_fg,espn_derived,876,0.6919431279620853,2.3401826484018264,36,895,2.346368715083799,21
wnba,2026,national,LA,creation,unassisted,made_fg,espn_derived,390,0.3080568720379147,2.1256410256410256,71,449,2.11358574610245,43
wnba,2026,national,LA,shot_zone,above_break_3,attempt,espn_derived,805,0.311171240819482,1.062111801242236,43,795,1.0830188679245283,64
wnba,2026,national,LA,shot_zone,at_rim,attempt,espn_derived,713,0.2756088132972555,1.5315568022440393,100,797,1.4880803011292347,100
wnba,2026,national,LA,shot_zone,corner_3,attempt,espn_derived,173,0.06687282566679552,1.0751445086705202,29,204,1.088235294117647,29
wnba,2026,national,LA,shot_zone,mid_range,attempt,espn_derived,375,0.1449555469655972,0.6666666666666666,71,439,0.6924829157175398,86
wnba,2026,national,LA,shot_zone,paint,attempt,espn_derived,521,0.20139157325086973,0.9520153550863724,50,491,0.9694501018329938,57
wnba,2026,national,LV,ball_security,dead_ball_to,possession,espn_derived,197,0.059355227478156074,0,100,242,0,46
wnba,2026,national,LV,ball_security,live_ball_to,possession,espn_derived,298,0.08978608014462187,0.003355704697986577,86,313,0,57
wnba,2026,national,LV,ball_security,no_turnover,possession,espn_derived,2824,0.850858692377222,1.2995750708215297,93,2777,1.2772776377385668,79
wnba,2026,national,LV,context,halfcourt,possession,espn_derived,2510,0.7562518830973185,1.046215139442231,79,2469,1.0174159578776834,43
wnba,2026,national,LV,context,second_chance,possession,espn_derived,438,0.13196746007833685,1.1232876712328768,86,509,1.0530451866404715,71
wnba,2026,national,LV,context,transition,possession,espn_derived,371,0.11178065682434468,1.490566037735849,79,354,1.4096045197740112,36
wnba,2026,national,LV,creation,assisted,made_fg,espn_derived,894,0.6627131208302446,2.3221476510067114,21,778,2.3766066838046274,71
wnba,2026,national,LV,creation,unassisted,made_fg,espn_derived,455,0.33728687916975536,2.123076923076923,64,498,2.140562248995984,100
wnba,2026,national,LV,shot_zone,above_break_3,attempt,espn_derived,716,0.2630418809698751,1.1396648044692737,86,797,1.1141781681304894,86
wnba,2026,national,LV,shot_zone,at_rim,attempt,espn_derived,492,0.1807494489346069,1.5284552845528456,93,632,1.3955696202531647,36
wnba,2026,national,LV,shot_zone,corner_3,attempt,espn_derived,180,0.06612784717119764,1.2,86,167,1.2035928143712575,71
wnba,2026,national,LV,shot_zone,mid_range,attempt,espn_derived,645,0.2369581190301249,0.7348837209302326,86,455,0.6461538461538462,50
wnba,2026,national,LV,shot_zone,paint,attempt,espn_derived,689,0.25312270389419544,1.1378809869375908,100,632,1.0284810126582278,93
wnba,2026,national,MIN,ball_security,dead_ball_to,possession,espn_derived,218,0.06722170829478878,0.013761467889908258,79,238,0,57
wnba,2026,national,MIN,ball_security,live_ball_to,possession,espn_derived,305,0.09404872032069071,0,57,376,0.0026595744680851063,7
wnba,2026,national,MIN,ball_security,no_turnover,possession,espn_derived,2720,0.8387295713845205,1.3360294117647058,71,2617,1.2667176155903705,7
wnba,2026,national,MIN,context,halfcourt,possession,espn_derived,2388,0.7363552266419982,1.0611390284757118,93,2391,0.971560016729402,14
wnba,2026,national,MIN,context,second_chance,possession,espn_derived,487,0.1501695960530373,1.2073921971252566,100,522,1.0459770114942528,50
wnba,2026,national,MIN,context,transition,possession,espn_derived,368,0.11347517730496454,1.3994565217391304,29,318,1.4056603773584906,29
wnba,2026,national,MIN,creation,assisted,made_fg,espn_derived,868,0.6387049300956585,2.358294930875576,50,821,2.3970767356881852,100
wnba,2026,national,MIN,creation,unassisted,made_fg,espn_derived,491,0.3612950699043414,2.120162932790224,57,371,2.105121293800539,14
wnba,2026,national,MIN,shot_zone,above_break_3,attempt,espn_derived,714,0.26278984173721015,1.2352941176470589,93,838,1.0489260143198091,14
wnba,2026,national,MIN,shot_zone,at_rim,attempt,espn_derived,787,0.2896577107103423,1.372299872935197,21,705,1.3900709219858156,14
wnba,2026,national,MIN,shot_zone,corner_3,attempt,espn_derived,175,0.06440927493559072,1.302857142857143,100,224,0.9642857142857143,7
wnba,2026,national,MIN,shot_zone,mid_range,attempt,espn_derived,593,0.21825542878174456,0.7689713322091062,93,390,0.676923076923077,71
wnba,2026,national,MIN,shot_zone,paint,attempt,espn_derived,448,0.16488774383511226,0.9866071428571429,71,445,0.9213483146067416,21
wnba,2026,national,NY,ball_security,dead_ball_to,possession,espn_derived,282,0.08471012316010815,0.0035460992907801418,0,221,0.004524886877828055,93
wnba,2026,national,NY,ball_security,live_ball_to,possession,espn_derived,312,0.09372183838990687,0,64,263,0.0038022813688212928,93
wnba,2026,national,NY,ball_security,no_turnover,possession,espn_derived,2735,0.8215680384499849,1.3371115173674588,29,2847,1.239901650860555,100
wnba,2026,national,NY,context,halfcourt,possession,espn_derived,2547,0.7650946230099129,1.0361209265802906,64,2502,1.0215827338129497,50
